Equipo,Pts_esp,GF_esp,GC_esp,Grupo,Pos
Mexico,6.23,6.04,2.76,A,1
South Korea,4.46,4.31,3.9,A,2
Czech Republic,3.05,3.28,4.99,A,3
South Africa,2.87,3.11,5.1,A,4
Switzerland,5.69,5.42,3.08,B,1
Bosnia,4.09,4.14,4.22,B,2
Canada,4.02,4.27,4.45,B,3
Qatar,2.79,3.16,5.24,B,4
Morocco,7.01,6.66,1.91,C,1
Brazil,5.64,5.19,2.83,C,2
Scotland,2.96,3.07,5.15,C,3
Haiti,1.29,1.6,6.63,C,4
USA,5.96,5.91,3.08,D,1
Turkey,4.96,4.9,3.64,D,2
Australia,3.23,3.55,4.96,D,3
Paraguay,2.5,2.99,5.66,D,4
Germany,7.11,6.68,1.88,E,1
Ecuador,4.56,4.47,3.89,E,2
Ivory Coast,4.08,4.16,4.34,E,3
Curacao,1.14,1.5,6.7,E,4
Netherlands,6.32,5.74,2.41,F,1
Japan,5.16,4.82,3.29,F,2
Sweden,3.09,3.16,4.74,F,3
Tunisia,2.09,2.4,5.68,F,4
Belgium,7.37,6.84,1.55,G,1
Iran,4.67,4.46,3.64,G,2
Egypt,3.94,3.87,4.31,G,3
New Zealand,0.96,1.23,6.91,G,4
Spain,7.86,7.48,1.1,H,1
Uruguay,4.93,4.54,3.46,H,2
Saudi Arabia,2.29,2.44,5.88,H,3
Cape Verde,1.88,2.06,6.08,H,4
France,7.72,7.69,1.47,I,1
Senegal,4.29,4.33,4.24,I,2
Norway,3.64,3.85,4.91,I,3
Iraq,1.31,1.82,7.08,I,4
Argentina,7.72,7.18,1.25,J,1
Austria,4.17,4.08,4.23,J,2
Algeria,3.42,3.46,4.83,J,3
Jordan,1.58,1.92,6.32,J,4
Portugal,7.28,6.77,1.59,K,1
Colombia,5.79,5.44,2.79,K,2
DR Congo,2.1,2.33,6.01,K,3
Uzbekistan,1.79,2.02,6.18,K,4
England,7.42,6.98,1.58,L,1
Croatia,4.97,4.63,3.44,L,2
Panama,2.33,2.57,5.71,L,3
Ghana,2.17,2.45,5.91,L,4
