P,Fecha,Sede,H,Local,Visit,G,xG_L,xG_V,Marcador,P(1),P(X),P(2),Conf,km_L,km_V,Factores
1,11-Jun,Mexico City,13,Mexico,South Africa,A,2.114,0.818,2-0,0.672,0.194,0.133,MEDIO,0,0,Local Mexico | Altitud 2240m
2,11-Jun,Guadalajara,20,South Korea,Czech Republic,A,1.626,1.072,1-1,0.503,0.247,0.25,BAJO,0,0,Altitud 1566m
3,12-Jun,Toronto,15,Canada,Bosnia,B,1.449,1.46,1-1,0.374,0.247,0.379,BAJO,0,0,Local Canada
4,12-Jun,Los Angeles,18,USA,Paraguay,D,2.228,0.836,2-0,0.689,0.184,0.126,MEDIO,0,0,Local USA
5,13-Jun,Boston,21,Haiti,Scotland,C,0.854,1.818,0-1,0.172,0.226,0.602,MEDIO,0,0,Equilibrado
6,13-Jun,Vancouver,21,Australia,Turkey,D,1.051,1.708,1-1,0.233,0.24,0.527,BAJO,0,0,Equilibrado
7,13-Jun,New York,18,Brazil,Morocco,C,1.052,1.651,1-1,0.242,0.245,0.513,BAJO,0,0,Equilibrado
8,13-Jun,San Francisco,12,Qatar,Switzerland,B,0.863,1.936,0-1,0.161,0.214,0.625,MEDIO,0,0,Equilibrado
9,14-Jun,Philadelphia,19,Ivory Coast,Ecuador,E,1.263,1.528,1-1,0.315,0.251,0.435,BAJO,0,0,Equilibrado
10,14-Jun,Houston,12,Germany,Curacao,E,2.468,0.273,2-0,0.856,0.116,0.028,ALTO,0,0,Elo gap 335→Germany | WBGT calor mediodía | Debut J1 Curacao
11,14-Jun,Dallas,15,Netherlands,Japan,F,1.61,1.122,1-1,0.487,0.248,0.265,BAJO,0,0,WBGT calor
12,14-Jun,Monterrey,20,Sweden,Tunisia,F,1.511,1.098,1-1,0.468,0.257,0.276,BAJO,0,0,WBGT calor
13,15-Jun,Miami,18,Saudi Arabia,Uruguay,H,0.723,1.961,0-1,0.129,0.205,0.666,MEDIO,0,0,Elo gap 162→Uruguay | WBGT calor
14,15-Jun,Atlanta,12,Spain,Cape Verde,H,2.659,0.221,2-0,0.886,0.094,0.018,ALTO,0,0,Elo gap 388→Spain | WBGT calor mediodía | Debut J1 Cape Verde
15,15-Jun,Los Angeles,18,Iran,New Zealand,G,2.206,0.461,2-0,0.776,0.16,0.063,ALTO,0,0,Elo gap 269→Iran
16,15-Jun,Seattle,12,Belgium,Egypt,G,2.242,0.595,2-0,0.749,0.167,0.083,BAJO*,0,0,Elo gap 183→Belgium | Dep.★ Salah
17,16-Jun,New York,15,France,Senegal,I,2.297,0.641,2-0,0.747,0.165,0.087,BAJO*,0,0,Elo gap 179→France | Dep.★ Mané
18,16-Jun,Boston,18,Iraq,Norway,I,0.854,2.073,0-2,0.145,0.2,0.656,BAJO*,0,0,Dep.★ Haaland
19,16-Jun,Kansas City,20,Argentina,Algeria,J,2.391,0.472,2-0,0.801,0.142,0.056,MEDIO*,0,0,Elo gap 246→Argentina | WBGT calor | Dep.★ Messi
20,16-Jun,San Francisco,21,Austria,Jordan,J,1.987,0.771,1-0,0.659,0.205,0.136,MEDIO,0,0,Debut J1 Jordan
21,17-Jun,Toronto,19,Ghana,Panama,L,1.321,1.39,1-1,0.355,0.257,0.387,BAJO,0,0,Equilibrado
22,17-Jun,Dallas,15,England,Croatia,L,1.944,0.766,1-0,0.651,0.209,0.139,MEDIO,0,0,WBGT calor
23,17-Jun,Houston,12,Portugal,DR Congo,K,2.502,0.352,2-0,0.842,0.121,0.036,ALTO,0,0,Elo gap 301→Portugal | WBGT calor mediodía | Dep.★ Ronaldo
