Equipo,Pts_esp,GF_esp,GC_esp,Grupo,Pos
Mexico,6.26,5.72,2.52,A,1
South Korea,4.41,4.29,3.9,A,2
South Africa,3.23,3.39,4.8,A,3
Czech Republic,2.7,2.99,5.16,A,4
Switzerland,5.38,5.01,3.18,B,1
Qatar,3.88,3.86,4.2,B,2
Bosnia,3.86,3.89,4.25,B,3
Canada,3.36,3.5,4.63,B,4
Morocco,6.99,6.49,1.81,C,1
Brazil,5.83,5.22,2.64,C,2
Scotland,2.71,2.73,5.23,C,3
Haiti,1.39,1.6,6.37,C,4
USA,5.79,5.34,2.88,D,1
Turkey,4.53,4.42,3.82,D,2
Australia,3.87,3.91,4.28,D,3
Paraguay,2.39,2.75,5.44,D,4
Germany,6.91,6.31,1.96,E,1
Ecuador,4.67,4.45,3.66,E,2
Ivory Coast,3.75,3.78,4.44,E,3
Curacao,1.45,1.8,6.29,E,4
Netherlands,6.23,5.78,2.52,F,1
Japan,5.63,5.35,3.04,F,2
Sweden,2.73,2.99,5.25,F,3
Tunisia,2.14,2.47,5.78,F,4
Belgium,7.04,6.4,1.74,G,1
Iran,5.07,4.76,3.24,G,2
Egypt,4.12,4.01,4.0,G,3
New Zealand,0.7,0.91,7.11,G,4
Spain,7.74,7.19,1.23,H,1
Uruguay,4.77,4.48,3.66,H,2
Saudi Arabia,2.78,2.84,5.28,H,3
Cape Verde,1.64,1.89,6.23,H,4
France,7.62,7.2,1.42,I,1
Senegal,4.68,4.55,3.85,I,2
Norway,2.6,2.83,5.54,I,3
Iraq,1.99,2.28,6.05,I,4
Argentina,7.83,7.24,1.13,J,1
Austria,3.87,3.76,4.44,J,2
Algeria,3.34,3.32,4.83,J,3
Jordan,1.84,2.08,6.01,J,4
Portugal,7.0,6.47,1.88,K,1
Colombia,5.74,5.33,2.82,K,2
DR Congo,2.18,2.44,5.8,K,3
Uzbekistan,1.96,2.22,5.97,K,4
England,7.08,6.45,1.78,L,1
Croatia,5.15,4.73,3.25,L,2
Panama,2.87,2.96,5.09,L,3
Ghana,1.72,2.02,6.05,L,4
