Equipo,Pts_esp,GF_esp,GC_esp,Grupo,Pos
Egypt,4.12,4.01,4.0,G,3
Australia,3.87,3.91,4.28,D,3
Bosnia,3.86,3.89,4.25,B,3
Ivory Coast,3.75,3.78,4.44,E,3
Algeria,3.34,3.32,4.83,J,3
South Africa,3.23,3.39,4.8,A,3
Panama,2.87,2.96,5.09,L,3
Saudi Arabia,2.78,2.84,5.28,H,3
Sweden,2.73,2.99,5.25,F,3
Scotland,2.71,2.73,5.23,C,3
Norway,2.6,2.83,5.54,I,3
DR Congo,2.18,2.44,5.8,K,3
