Equipo,Pts_esp,GF_esp,GC_esp,Grupo,Pos
Mexico,6.3,6.09,2.7,A,1
South Korea,4.56,4.34,3.75,A,2
Czech Republic,3.04,3.27,5.01,A,3
South Africa,2.73,2.98,5.22,A,4
Switzerland,5.81,5.35,2.86,B,1
Bosnia,4.08,4.1,4.18,B,2
Canada,4.07,4.24,4.36,B,3
Qatar,2.62,2.95,5.23,B,4
Morocco,7.07,6.65,1.8,C,1
Brazil,5.75,5.42,2.77,C,2
Scotland,2.99,3.12,5.17,C,3
Haiti,1.15,1.55,7.0,C,4
USA,5.95,5.92,3.07,D,1
Turkey,4.99,4.95,3.64,D,2
Australia,3.31,3.62,4.99,D,3
Paraguay,2.4,2.81,5.61,D,4
Germany,7.34,7.58,1.94,E,1
Ecuador,4.54,4.59,4.07,E,2
Ivory Coast,4.12,4.37,4.52,E,3
Curacao,0.98,1.5,7.52,E,4
Netherlands,6.47,6.25,2.54,F,1
Japan,5.22,4.94,3.34,F,2
Sweden,3.02,3.23,5.12,F,3
Tunisia,2.01,2.3,5.73,F,4
Belgium,7.42,6.82,1.42,G,1
Iran,4.67,4.17,3.37,G,2
Egypt,3.98,3.77,4.09,G,3
New Zealand,0.85,1.12,7.0,G,4
Spain,8.04,8.09,1.02,H,1
Uruguay,4.97,4.34,3.32,H,2
Saudi Arabia,2.2,2.24,5.91,H,3
Cape Verde,1.8,1.95,6.38,H,4
France,7.88,8.11,1.4,I,1
Senegal,4.37,4.48,4.32,I,2
Norway,3.7,4.14,5.16,I,3
Iraq,1.12,1.75,7.61,I,4
Argentina,7.85,7.62,1.23,J,1
Austria,4.18,4.1,4.35,J,2
Algeria,3.46,3.38,4.75,J,3
Jordan,1.46,1.82,6.58,J,4
Portugal,7.5,7.58,1.58,K,1
Colombia,5.8,5.63,2.93,K,2
DR Congo,2.05,2.39,6.49,K,3
Uzbekistan,1.69,2.04,6.64,K,4
England,7.55,7.29,1.55,L,1
Croatia,5.06,4.66,3.35,L,2
Panama,2.22,2.5,5.94,L,3
Ghana,2.11,2.43,6.04,L,4
