Equipo,Pts_esp,GF_esp,GC_esp,Grupo,Pos
Ivory Coast,4.12,4.37,4.52,E,3
Canada,4.07,4.24,4.36,B,3
Egypt,3.98,3.77,4.09,G,3
Norway,3.7,4.14,5.16,I,3
Algeria,3.46,3.38,4.75,J,3
Australia,3.31,3.62,4.99,D,3
Czech Republic,3.04,3.27,5.01,A,3
Sweden,3.02,3.23,5.12,F,3
Scotland,2.99,3.12,5.17,C,3
Panama,2.22,2.5,5.94,L,3
Saudi Arabia,2.2,2.24,5.91,H,3
DR Congo,2.05,2.39,6.49,K,3
