P,Fecha,Sede,H,Local,Visit,G,xG_L,xG_V,Marcador,P(1),P(X),P(2),Conf,km_L,km_V,Factores
58,25-Jun,Kansas City,18,Tunisia,Netherlands,F,0.565,2.341,0-2,0.072,0.155,0.772,ALTO,1582,1045,Elo gap 209→Netherlands | WBGT calor | Viaje Tunisia 1582km
59,25-Jun,Los Angeles,19,Turkey,USA,D,1.286,1.695,1-1,0.291,0.238,0.47,BAJO,505,1553,Viaje USA 1553km
60,25-Jun,San Francisco,19,Paraguay,Australia,D,1.17,1.534,1-1,0.29,0.253,0.457,BAJO,0,1134,Equilibrado
61,26-Jun,Boston,15,Norway,France,I,0.533,2.667,0-2,0.052,0.123,0.823,MEDIO*,274,408,Elo gap 238→France | Rotación France J3 | Dep.★ Haaland
62,26-Jun,Toronto,15,Senegal,Iraq,I,2.187,0.657,2-0,0.725,0.177,0.097,BAJO*,540,544,Elo gap 172→Senegal | Dep.★ Mané
63,26-Jun,Seattle,20,Egypt,Iran,G,1.058,1.344,1-1,0.294,0.273,0.433,BAJO,196,1553,Viaje Iran 1553km | Dep.★ Salah
64,26-Jun,Vancouver,20,New Zealand,Belgium,G,0.195,2.709,0-2,0.015,0.088,0.895,ALTO,0,1749,Elo gap 407→Belgium | Viaje Belgium 1749km | Rotación Belgium J3
65,26-Jun,Houston,19,Cape Verde,Saudi Arabia,H,1.17,1.39,1-1,0.316,0.264,0.42,BAJO,1547,1135,Calor mitigado (techo) | Debut J3 Cape Verde | Viaje Cape Verde 1547km
66,26-Jun,Guadalajara,18,Uruguay,Spain,H,0.55,2.135,0-2,0.082,0.175,0.742,MEDIO,2440,2374,Elo gap 184→Spain | Altitud 1566m | Viaje Uruguay 2440km | Viaje Spain 2374km | Rotación Spain J3
67,27-Jun,New York,17,Panama,England,L,0.406,2.66,0-2,0.037,0.112,0.849,ALTO,540,274,Elo gap 274→England | Rotación England J3
68,27-Jun,Philadelphia,17,Croatia,Ghana,L,1.985,0.69,1-0,0.679,0.201,0.12,MEDIO,544,408,Elo gap 156→Croatia
69,27-Jun,Kansas City,21,Algeria,Austria,J,1.178,1.511,1-1,0.296,0.255,0.449,BAJO,2399,739,WBGT calor | Viaje Algeria 2399km
70,27-Jun,Dallas,21,Jordan,Argentina,J,0.247,2.769,0-2,0.019,0.089,0.89,MEDIO*,2315,0,Elo gap 350→Argentina | Calor mitigado (techo) | Debut J3 Jordan | Viaje Jordan 2315km | Rotación Argentina J3
71,27-Jun,Miami,19,Colombia,Portugal,K,0.935,1.928,0-1,0.177,0.217,0.606,BAJO*,2440,1547,WBGT calor | Viaje Colombia 2440km | Viaje Portugal 1547km | Dep.★ L.Díaz | Dep.★ Ronaldo
72,27-Jun,Atlanta,19,DR Congo,Uzbekistan,K,1.474,1.288,1-1,0.416,0.254,0.331,BAJO,2374,1135,Calor mitigado (techo) | Debut J3 Uzbekistan | Viaje DR Congo 2374km
