P,Fecha,Sede,H,Local,Visit,G,xG_L,xG_V,Marcador,P(1),P(X),P(2),Conf,km_L,km_V,Factores
1,11-Jun,Mexico City,13,Mexico,South Africa,A,2.036,0.839,2-0,0.652,0.203,0.145,MEDIO,0,0,Local Mexico | Altitud 2240m
2,11-Jun,Guadalajara,20,South Korea,Czech Republic,A,1.583,1.037,1-1,0.5,0.251,0.248,BAJO,0,0,Altitud 1566m
3,12-Jun,Toronto,15,Canada,Bosnia,B,1.395,1.45,1-1,0.362,0.25,0.387,BAJO,0,0,Local Canada
4,12-Jun,Los Angeles,18,USA,Paraguay,D,2.077,0.833,2-0,0.662,0.198,0.14,MEDIO,0,0,Local USA
5,13-Jun,Boston,21,Haiti,Scotland,C,0.861,1.753,0-1,0.182,0.233,0.585,MEDIO,0,0,Equilibrado
6,13-Jun,Vancouver,21,Australia,Turkey,D,1.067,1.683,1-1,0.24,0.242,0.518,BAJO,0,0,Equilibrado
7,13-Jun,New York,18,Brazil,Morocco,C,1.222,1.522,1-1,0.305,0.252,0.442,BAJO,0,0,Equilibrado
8,13-Jun,San Francisco,12,Qatar,Switzerland,B,0.918,1.809,0-1,0.188,0.228,0.584,MEDIO,0,0,Equilibrado
9,14-Jun,Philadelphia,19,Ivory Coast,Ecuador,E,1.208,1.507,1-1,0.304,0.254,0.441,BAJO,0,0,Equilibrado
10,14-Jun,Houston,12,Germany,Curacao,E,2.303,0.308,2-0,0.827,0.136,0.037,ALTO,0,0,Elo gap 335→Germany | Calor mediodía | Debut Curacao
11,14-Jun,Dallas,15,Netherlands,Japan,F,1.51,1.191,1-1,0.446,0.254,0.3,BAJO,0,0,Sede calurosa
12,14-Jun,Monterrey,20,Sweden,Tunisia,F,1.544,1.115,1-1,0.472,0.254,0.274,BAJO,0,0,Sede calurosa
13,15-Jun,Miami,18,Saudi Arabia,Uruguay,H,0.743,1.923,0-1,0.137,0.211,0.653,MEDIO,0,0,Elo gap 162→Uruguay | Sede calurosa
14,15-Jun,Atlanta,12,Spain,Cape Verde,H,2.572,0.241,2-0,0.873,0.103,0.022,ALTO,0,0,Elo gap 388→Spain | Debut Cape Verde
15,15-Jun,Los Angeles,18,Iran,New Zealand,G,2.2,0.463,2-0,0.775,0.161,0.064,ALTO,0,0,Elo gap 269→Iran
16,15-Jun,Seattle,12,Belgium,Egypt,G,2.031,0.693,2-0,0.687,0.196,0.117,BAJO*,0,0,Elo gap 183→Belgium | Dep.★ Salah
17,16-Jun,New York,15,France,Senegal,I,2.141,0.719,2-0,0.702,0.186,0.112,BAJO*,0,0,Elo gap 179→France | Dep.★ Mané
18,16-Jun,Boston,18,Iraq,Norway,I,0.886,1.862,0-1,0.174,0.222,0.603,BAJO*,0,0,Dep.★ Haaland
19,16-Jun,Kansas City,20,Argentina,Algeria,J,2.292,0.486,2-0,0.783,0.153,0.063,MEDIO*,0,0,Elo gap 264→Argentina | Sede calurosa | Dep.★ Messi
20,16-Jun,San Francisco,21,Austria,Jordan,J,1.88,0.777,1-0,0.635,0.217,0.148,MEDIO,0,0,Debut Jordan
21,17-Jun,Toronto,19,Ghana,Panama,L,1.276,1.397,1-1,0.342,0.259,0.398,BAJO,0,0,Equilibrado
22,17-Jun,Dallas,15,England,Croatia,L,1.828,0.84,1-0,0.607,0.225,0.168,MEDIO,0,0,Sede calurosa
23,17-Jun,Houston,12,Portugal,DR Congo,K,2.42,0.389,2-0,0.824,0.132,0.043,ALTO,0,0,Elo gap 301→Portugal | Calor mediodía | Dep.★ Ronaldo
24,17-Jun,Mexico City,20,Uzbekistan,Colombia,K,0.47,2.154,0-2,0.067,0.167,0.765,ALTO,0,0,Elo gap 233→Colombia | Altitud 2240m | Debut Uzbekistan | Dep.★ L.Díaz
25,18-Jun,Atlanta,12,Czech Republic,South Africa,A,1.382,1.326,1-1,0.384,0.258,0.358,BAJO,2374,2171,Equilibrado
26,18-Jun,Los Angeles,12,Switzerland,Bosnia,B,1.622,1.126,1-1,0.489,0.247,0.264,BAJO,505,3504,Equilibrado
27,18-Jun,Vancouver,18,Canada,Qatar,B,1.606,1.219,1-1,0.464,0.246,0.29,BAJO,3357,1324,Local Canada
