Equipo,Pts_esp,GF_esp,GC_esp,Grupo,Pos
Mexico,6.12,5.8,2.75,A,1
South Korea,4.45,4.29,3.85,A,2
Czech Republic,3.07,3.26,4.93,A,3
South Africa,2.96,3.21,5.03,A,4
Switzerland,5.44,5.13,3.21,B,1
Bosnia,4.08,4.11,4.16,B,2
Canada,4.01,4.17,4.4,B,3
Qatar,3.02,3.29,4.93,B,4
Morocco,6.63,6.16,2.14,C,1
Brazil,5.99,5.41,2.52,C,2
Scotland,2.94,2.99,5.06,C,3
Haiti,1.3,1.58,6.43,C,4
USA,5.85,5.65,3.03,D,1
Turkey,4.83,4.68,3.64,D,2
Australia,3.26,3.48,4.85,D,3
Paraguay,2.66,3.01,5.3,D,4
Germany,6.73,6.13,2.06,E,1
Ecuador,4.76,4.53,3.6,E,2
Ivory Coast,4.05,4.04,4.18,E,3
Curacao,1.24,1.57,6.44,E,4
Netherlands,6.06,5.44,2.56,F,1
Japan,5.28,4.94,3.19,F,2
Sweden,3.15,3.23,4.72,F,3
Tunisia,2.15,2.47,5.61,F,4
Belgium,7.04,6.37,1.76,G,1
Iran,4.8,4.56,3.5,G,2
Egypt,4.05,3.99,4.11,G,3
New Zealand,0.98,1.28,6.82,G,4
Spain,7.66,7.1,1.22,H,1
Uruguay,5.02,4.66,3.4,H,2
Saudi Arabia,2.4,2.54,5.61,H,3
Cape Verde,1.84,2.05,6.12,H,4
France,7.44,7.0,1.59,I,1
Senegal,4.39,4.32,4.05,I,2
Norway,3.52,3.62,4.79,I,3
Iraq,1.52,1.92,6.44,I,4
Argentina,7.6,6.94,1.31,J,1
Austria,4.06,3.88,4.21,J,2
Algeria,3.5,3.43,4.61,J,3
Jordan,1.68,1.98,6.1,J,4
Portugal,7.12,6.63,1.78,K,1
Colombia,5.73,5.29,2.81,K,2
DR Congo,2.18,2.39,5.79,K,3
Uzbekistan,1.87,2.11,6.05,K,4
England,7.14,6.48,1.72,L,1
Croatia,4.94,4.61,3.43,L,2
Panama,2.51,2.72,5.42,L,3
Ghana,2.2,2.46,5.69,L,4
